month,city_id,total_target_trips
2024-01-01 00:00:00.000,"AP01",4500
2024-01-01 00:00:00.000,"CH01",7000
2024-01-01 00:00:00.000,"GJ01",9000
2024-01-01 00:00:00.000,"GJ02",6000
2024-01-01 00:00:00.000,"KA01",2000
2024-01-01 00:00:00.000,"KL01",7500
2024-01-01 00:00:00.000,"MP01",7000
2024-01-01 00:00:00.000,"RJ01",13000
2024-01-01 00:00:00.000,"TN01",3500
2024-01-01 00:00:00.000,"UP01",13000
2024-02-01 00:00:00.000,"AP01",4500
2024-02-01 00:00:00.000,"CH01",7000
2024-02-01 00:00:00.000,"GJ01",9000
2024-02-01 00:00:00.000,"GJ02",6000
2024-02-01 00:00:00.000,"KA01",2000
2024-02-01 00:00:00.000,"KL01",7500
2024-02-01 00:00:00.000,"MP01",7000
2024-02-01 00:00:00.000,"RJ01",13000
2024-02-01 00:00:00.000,"TN01",3500
2024-02-01 00:00:00.000,"UP01",13000
2024-03-01 00:00:00.000,"AP01",4500
2024-03-01 00:00:00.000,"CH01",7000
2024-03-01 00:00:00.000,"GJ01",9000
2024-03-01 00:00:00.000,"GJ02",6000
2024-03-01 00:00:00.000,"KA01",2000
2024-03-01 00:00:00.000,"KL01",7500
2024-03-01 00:00:00.000,"MP01",7000
2024-03-01 00:00:00.000,"RJ01",13000
2024-03-01 00:00:00.000,"TN01",3500
2024-03-01 00:00:00.000,"UP01",13000
2024-04-01 00:00:00.000,"AP01",5000
2024-04-01 00:00:00.000,"CH01",6000
2024-04-01 00:00:00.000,"GJ01",10000
2024-04-01 00:00:00.000,"GJ02",6500
2024-04-01 00:00:00.000,"KA01",2500
2024-04-01 00:00:00.000,"KL01",9000
2024-04-01 00:00:00.000,"MP01",7500
2024-04-01 00:00:00.000,"RJ01",9500
2024-04-01 00:00:00.000,"TN01",3500
2024-04-01 00:00:00.000,"UP01",11000
2024-05-01 00:00:00.000,"AP01",5000
2024-05-01 00:00:00.000,"CH01",6000
2024-05-01 00:00:00.000,"GJ01",10000
2024-05-01 00:00:00.000,"GJ02",6500
2024-05-01 00:00:00.000,"KA01",2500
2024-05-01 00:00:00.000,"KL01",9000
2024-05-01 00:00:00.000,"MP01",7500
2024-05-01 00:00:00.000,"RJ01",9500
2024-05-01 00:00:00.000,"TN01",3500
2024-05-01 00:00:00.000,"UP01",11000
2024-06-01 00:00:00.000,"AP01",5000
2024-06-01 00:00:00.000,"CH01",6000
2024-06-01 00:00:00.000,"GJ01",10000
2024-06-01 00:00:00.000,"GJ02",6500
2024-06-01 00:00:00.000,"KA01",2500
2024-06-01 00:00:00.000,"KL01",9000
2024-06-01 00:00:00.000,"MP01",7500
2024-06-01 00:00:00.000,"RJ01",9500
2024-06-01 00:00:00.000,"TN01",3500
2024-06-01 00:00:00.000,"UP01",11000
